單字 (Word),詞性 (POS),中文翻譯 (Translation),例句 (Example),已背過 (Learned),Learned,Status,Appeared
growth,n.,生長,,FALSE,FALSE,,FALSE
guava,n.,番石榴,,FALSE,FALSE,,FALSE
guest,n.,客人,,FALSE,FALSE,,FALSE
gymnasium/gym,n.,體育館/體育館,,FALSE,FALSE,,FALSE
haircut,n.,理髮,,FALSE,FALSE,,FALSE
hall,n.,大廳,,FALSE,FALSE,,FALSE
hamburger/burger,n.,漢堡/漢堡,,FALSE,FALSE,,FALSE
handsome,adj.,英俊的,,FALSE,FALSE,,FALSE
hardly,adv.,幾乎不,,FALSE,FALSE,,FALSE
heaven,n.,天堂,,FALSE,FALSE,,FALSE
hero/heroine,n.,英雄/女主角,,FALSE,FALSE,,FALSE
highly,adv.,高度,,FALSE,FALSE,,FALSE
highway,n.,公路,,FALSE,FALSE,,FALSE
hip,n.,時髦的,,FALSE,FALSE,,FALSE
hippopotamus/hippo,n.,河馬,,FALSE,FALSE,,FALSE
historical,adj.,歷史的,,FALSE,FALSE,,FALSE
hole,n.,洞,,FALSE,FALSE,,FALSE
host/hostess,n.,男主人/女主人,,FALSE,FALSE,,FALSE
huge,adj.,巨大的,,FALSE,FALSE,,FALSE
humble,adj.,謙遜的,,FALSE,FALSE,,FALSE
hunter,n.,獵人,,FALSE,FALSE,,FALSE
identity,n.,身份,,FALSE,FALSE,,FALSE
ignore,v.,忽略,,FALSE,FALSE,,FALSE
image,n.,圖像,,FALSE,FALSE,,FALSE
imagine,v.,想像,,FALSE,FALSE,,FALSE
importance,n.,重要性,,FALSE,FALSE,,FALSE
impressive,adj.,感人的,,FALSE,FALSE,,FALSE
include,v.,包括,,FALSE,FALSE,,FALSE
material,n.,材料,,FALSE,FALSE,,FALSE
mature,adj.,成熟,,FALSE,FALSE,,FALSE
meaning,n.,意義,,FALSE,FALSE,,FALSE
means,n.,方法,,FALSE,FALSE,,FALSE
medical,adj.,醫療的,,FALSE,FALSE,,FALSE
melody,n.,旋律,,FALSE,FALSE,,FALSE
membership,n.,會員資格,,FALSE,FALSE,,FALSE
memory,n.,記憶,,FALSE,FALSE,,FALSE
message,n.,訊息,,FALSE,FALSE,,FALSE
meter,n.,儀表,,FALSE,FALSE,,FALSE
method,n.,方法,,FALSE,FALSE,,FALSE
midnight,n.,午夜,,FALSE,FALSE,,FALSE
mile,n.,英里,,FALSE,FALSE,,FALSE
minority,n.,少數民族,,FALSE,FALSE,,FALSE
mixture,n.,混合物,,FALSE,FALSE,,FALSE
mood,n.,情緒,,FALSE,FALSE,,FALSE
motion,n.,運動,,FALSE,FALSE,,FALSE
motorcycle,n.,摩托車,,FALSE,FALSE,,FALSE
mug,n.,馬克杯,,FALSE,FALSE,,FALSE
musician,n.,音樂家,,FALSE,FALSE,,FALSE
nail,n.,指甲,,FALSE,FALSE,,FALSE
